id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38840153,Light-Filled Studio in The Heart of D.C. (U St NW),80560621,Leslie,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92115,-77.02728,Entire home/apt,70,1,0,,,1,0
38850971,Light and Airy Row House,267051275,Lisa,,"Union Station, Stanton Park, Kingman Park",38.90237,-76.99641,Entire home/apt,160,2,3,2019-11-16,0.14,1,0
38869367,Light filled bedroom in quiet DC neighborhood,25609970,Nina,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.90035,-76.92409,Private room,45,2,4,2019-10-27,0.18,1,0
38869884,"The Smith - Gorgeous Contemporary Apartment, DC",261665799,Laura,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92986,-77.0441,Entire home/apt,125,2,22,2021-07-04,1.30,1,74
38892449,"Charming Studio in DC, Rooftop + Pet-Friendly",48005494,Zeus,,"Shaw, Logan Circle",38.9059,-77.02356,Entire home/apt,96,30,4,2021-05-15,0.28,170,228
38894046,"Perfect Location-Bloomingdale Apt, Free Parking",62587952,Stephen,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91113,-77.01257,Entire home/apt,93,2,10,2020-07-31,0.47,3,0
38896862,Lofty Living w/ Bath in The Heart of Capitol Hill,294545484,June,,"Union Station, Stanton Park, Kingman Park",38.89487,-76.98634,Private room,55,30,0,,,89,336
38897925,Modern Design in Columbia Heights Location,294545484,June,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92415,-77.02342,Private room,53,30,0,,,89,314
38898420,Cozy & Furnished Room to Move in Capitol Hill,294545484,June,,"Union Station, Stanton Park, Kingman Park",38.89375,-76.99573,Private room,59,30,0,,,89,338
38899234,Sunny Bedroom in Columbia Heights Apartment,294545484,June,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92693,-77.02619,Private room,48,30,0,,,89,346
38902013,Brand new / renovated English Basement apartment,2795746,Katri,,"Shaw, Logan Circle",38.91323,-77.03116,Entire home/apt,141,2,40,2021-06-27,1.89,1,144
38915618,Stunning 2-UNIT Rental // Only STEPS Away from The White House,289259344,Douglas,,"Dupont Circle, Connecticut Avenue/K Street",38.90438,-77.03793,Entire home/apt,549,1,4,2020-02-09,0.22,11,111
38921343,Trendy Petworth Abode Close to Metro & Restaurants,32640495,Simon,,"Brightwood Park, Crestwood, Petworth",38.93964,-77.02692,Entire home/apt,110,7,32,2021-05-22,1.53,1,0
38926018,Another Day In Paradise Cozy Room  Woodley Park,226100274,Ricky,,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.9288,-77.0557,Private room,70,7,4,2021-01-18,0.20,1,90
38944130,SPACIOUS & STYLISH✫✫ 3 UNITS ✫✫TRUE HEART of the City,289259344,Douglas,,"Dupont Circle, Connecticut Avenue/K Street",38.90384,-77.0378,Entire home/apt,722,4,2,2020-03-14,0.12,11,0
38978425,Private apartment in hip Columbia Heights,298618235,Cóilín,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92635,-77.02293,Entire home/apt,72,3,15,2021-06-04,0.72,1,35
38984310,Cozy Victorian Condo/ Apartment/ flat,32574281,Meron,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90776,-77.01178,Entire home/apt,119,1,22,2021-07-04,1.18,1,362
39002463,"Fantastic 5BR Home Walk to metro, Howard, Hospital",297174078,Kevin,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92863,-77.01992,Entire home/apt,269,3,11,2021-06-15,0.56,1,257
39007133,New Modern Basement with Private Bath and Entry,206931406,Sherry,,"Capitol View, Marshall Heights, Benning Heights",38.8803,-76.93171,Entire home/apt,55,1,17,2020-03-15,0.81,1,135
39009137,Capital Hill Townhouse 1 Bedroom,298931755,Lindsay,,"Union Station, Stanton Park, Kingman Park",38.89438,-76.99985,Entire home/apt,125,2,13,2021-06-20,0.76,1,8
39021954,Studio in city Priv bath kitchen on bus D4 D8 H st,299020926,Dina,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90944,-76.9858,Private room,150,30,2,2019-10-20,0.09,1,102
39022039,"It is quiet, clean and everyone is respectful",293128885,Lia,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93516,-77.02083,Private room,90,3,1,2019-11-09,0.05,2,365
39026392,Sun Flooded Business Traveler Dream,2985748,Lindsay,,"Brightwood Park, Crestwood, Petworth",38.94408,-77.01445,Private room,237,9,0,,,1,0
39048938,Charming 1BR Apt in Cap Hill near Union Station,8388815,Krystel,,"Union Station, Stanton Park, Kingman Park",38.89841,-76.99888,Entire home/apt,90,3,19,2020-12-14,1.04,1,0
39053292,Large Cozy Quaint Private Bedroom Near Downtown DC,43224781,Karen,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.90139,-76.93267,Private room,42,1,15,2021-01-07,2.34,3,198
39058403,✣ HOME SUITE HOME On The Rox ✣ Privacy / Parking,293222,Kris & AJ,,"Takoma, Brightwood, Manor Park",38.96492,-77.02109,Entire home/apt,287,1,7,2020-05-10,0.38,3,0
39083672,Uptown Comfort,182213812,Lily,,"Takoma, Brightwood, Manor Park",38.96445,-77.02963,Entire home/apt,189,2,20,2021-05-21,1.02,1,113
39089600,"2 BR Modern Apt., Extended Stay, Central Location",80231095,Nate,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90748,-77.00972,Entire home/apt,68,2,17,2020-03-12,0.83,1,0
39096388,Chic Downtown In-Law Suite,141904488,Tamba,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91614,-77.0072,Entire home/apt,95,1,60,2021-07-06,2.95,1,64
